Ward No.,Ward Name,,,,,Population Density 2011 (people/square km),Low Income % (People with no assets),Water Quality,Normalized Population,Normalized Water,Normalized Income,Ward Ranking
37,Yeshwanthpura,Bangalore North,City Circle,Rajarajeshwarinagar,Bangalore Rural,53039,1.8,2.95,44.9258421636639,64.7971360381862,24.3243243243243,44.633752577737
38,H. M. T.,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,7053,4,1.12,5.97413157827866,86.6348448687351,54.0540540540541,57.4703858847714
39,Chokkasandra,Bangalore North,Yeshwanthpura-2,Dasarahalli,Bangalore North,15752,4.3,2,13.342481301722,76.1336515513127,58.1081081081081,56.3652001241127
40,Dodda Bidarkallu,Bangalore North,Yeshwanthpura-2,Yeshvanthapura,Bangalore North,5649,5.3,1.73,4.78489568774935,79.3556085918854,71.6216216216216,61.3478712229527
41,Peenya Industrial Area,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,10423,3.6,3,8.82863652919303,64.200477326969,48.6486486486487,46.9053776960857
42,Lakshmidevinagar,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,27235,6.4,5.17,23.0689739875825,38.3054892601432,86.4864864864865,54.5305850961684
43,Nandini Layout,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,36191,2.8,4.96,30.6550114773122,40.8114558472554,37.8378378378378,37.5907197694997
44,Marappana Palya,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,19785,2.6,2.93,16.7585698676086,65.035799522673,35.1351351351351,43.420087836645
45,Malleshwaram,Bangalore North,City Circle,Malleshwaram,Bangalore North,18939,1.1,4.54,16.0419790104948,45.8233890214797,14.8648648648649,27.4836973566368
46,Jayachamarajendranagar,Bangalore North (Additional),City Circle,Hebbal,Bangalore North,35246,0.7,4.8,29.8545642433021,42.7207637231504,9.45945945945946,26.8430021217043
47,Devarajeevanahalli,Bangalore North,Kasaba-1,Pulakeshinagar,Bangalore North,30833,4.8,4.07,26.1166027155914,51.4319809069212,64.8648648648649,51.7420588518327
48,Muneshwaranagar,Bangalore South,City Circle,Pulakeshinagar,Bangalore North,74511,1.8,3.48,63.1133585749498,58.472553699284,24.3243243243243,45.7414229244333
49,Lingarajapuram,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,43274,2.9,2.05,36.6545540788928,75.5369928400955,39.1891891891892,53.2213836274924
50,Benniganahalli,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,9980,2.2,3.72,8.45340041843485,55.6085918854415,29.7297297297297,35.8260087297555
51,Vijinapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,22464,2.1,1.55,19.027774248469,81.5035799522673,28.3783783783784,47.7583381819521
52,Krishnarajapuram,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,7308,1.4,3.03,6.19012527634488,63.8424821002387,18.9189189189189,34.342585462932
53,Basavanapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,7740,2.2,3.16,6.55604401189236,62.291169451074,29.7297297297297,38.1195684747
54,Hoodi,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,3349,3.1,2.6,2.83671723460304,68.9737470167064,41.8918918918919,44.9135990103599
55,Devasandra,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,9754,3.5,6.68,8.26197070956047,20.2863961813843,47.2972972972973,28.6858715333847
56,A. Narayanapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,20286,1.9,4.07,17.1829339567504,51.4319809069212,25.6756756756757,34.2796494243888
57,C. V. Raman Nagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,16379,1.7,3.6,13.8735716887319,57.0405727923628,22.972972972973,34.7801326438807
58,Hosathippasandra,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,13085,1.2,5.28,11.0834413301824,36.9928400954654,16.2162162162162,23.5003107907091
59,Maruthisevanagar,Bangalore East,Krishnarajapuram,Sarvagnanagar,Bangalore Central,16942,2.2,7.37,14.3504518926977,12.0525059665871,29.7297297297297,19.5829846570663
60,Sagayarapuram,Bangalore North (Additional),City Circle,Pulakeshinagar,Bangalore North,45792,4.4,3.39,38.7873859680329,59.5465393794749,59.4594594594595,55.3598767291804
61,S. K. Garden,Bangalore North (Additional),City Circle,Pulakeshinagar,Bangalore North,29129,2.5,4.82,24.673256592043,42.4821002386635,33.7837837837838,35.4410049273875
62,Ramaswamypalya,Bangalore North (Additional),City Circle,Shivajinagar,Bangalore Central,41334,2.3,4.02,35.0113079053693,52.0286396181384,31.0810810810811,40.2461498607617
63,Jayamahal,Bangalore North (Additional),City Circle,Shivajinagar,Bangalore Central,14986,0.9,5.99,12.6936531734133,28.5202863961814,12.1621621621622,18.8117100580201
64,Rajamahal,Bangalore North,City Circle,Malleshwaram,Bangalore North,43530,0.6,5.94,36.871394811069,29.1169451073986,8.10810810810811,22.2643002484165
65,Kadumalleshwara,Bangalore North,City Circle,Malleshwaram,Bangalore North,26086,0.4,6.69,22.0957317951194,20.1670644391408,5.40540540540541,14.6481342968424
66,Subrahmanyanagar,Bangalore North,City Circle,Malleshwaram,Bangalore North,37919,0.6,3.14,32.1186864195021,62.5298329355609,8.10810810810811,34.678913701368
67,Nagapura,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,19260,0.7,3.67,16.3138769598252,56.2052505966587,9.45945945945946,29.5286594144123
68,Mahalakshmipuram,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,47275,0.9,3.83,40.0435375532573,54.2959427207637,12.1621621621622,34.5919494638218
69,Laggere,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,36245,3.7,3.64,30.7007513192556,56.563245823389,50,48.7654485932067
70,Rajagopalanagar,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,28249,3.7,1.9,23.927866575187,77.326968973747,50,55.7163609045362
71,Hegganahalli,Bangalore North,Yeshwanthpura-2,Dasarahalli,Bangalore North,37639,4.5,2.38,31.8815168686843,71.5990453460621,60.8108108108108,59.340245836486
72,Herohalli,Bangalore North,Yeshwanthpura-2,Yeshvanthapura,Bangalore North,8035,3.3,3.88,6.80591907436112,53.6992840095465,44.5945945945946,40.6787352565287
73,Kottigepalya,Bangalore North,Yeshwanthpura-2,Rajarajeshwarinagar,Bangalore Rural,11784,2.2,2.87,9.98144995298961,65.7517899761337,29.7297297297297,40.1888978729433
74,Shakthiganapathinagar,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,62588,2.1,4.38,53.0141708806614,47.7326968973747,28.3783783783784,41.0472642864335
75,Shankara Matha,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,44963,2,4.44,38.0851946907902,47.0167064439141,27.027027027027,37.2345323265345
76,Gayathrinagar,Bangalore North,City Circle,Malleshwaram,Bangalore North,51465,0.7,3.19,43.5926104744238,61.9331742243437,9.45945945945946,37.275575568406
77,Dattathreya Temple,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,46485,1.1,4.54,39.374380606307,45.8233890214797,14.8648648648649,32.1501776757992
78,Pulakeshinagar,Bangalore North (Additional),City Circle,Pulakeshinagar,Bangalore North,16761,0.5,2.65,14.1971387187762,68.3770883054893,6.75675675675676,32.8929657686537
79,Sarvagnanagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,10218,2.7,5.6,8.65499453662999,33.1742243436754,36.4864864864865,29.5952832393908
80,Hoysalanagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,17131,1.9,3.2,14.5105413394997,61.8138424821002,25.6756756756757,37.8979155310103
81,Vignananagar,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,9935,1,4.37,8.41528388348199,47.8520286396181,13.5135135135135,26.2292736379491
82,Garudacharpalya,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,7316,3.1,2.73,6.19690154922539,67.4224343675418,41.8918918918919,44.9651108136185
83,Kadugudi,Bangalore East,Bidarahalli,Mahadevapura,Bangalore Central,3934,3.3,0.7,3.33223218899025,91.6467780429594,44.5945945945946,55.1629954928197
84,Hagadooru,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,4003,3.4,1,3.39067754258464,88.0668257756563,45.945945945946,54.2832441971578
85,Doddanekkundi,Bangalore East,Varthur,Mahadevapura,Bangalore Central,5270,1,6.82,4.46386976003524,18.6157517899761,13.5135135135135,13.7444800734029
86,Marathahalli,Bangalore East,Varthur,Mahadevapura,Bangalore Central,12679,1.4,1.84,10.7395454814965,78.0429594272077,18.9189189189189,40.9326604347499
87,HAL Airport,Bangalore East,Varthur,Krishnarajapuram,Bangalore North,5888,1.9,6.02,4.98733684005455,28.1622911694511,25.6756756756757,22.5326541060616
88,Jeevanabima Nagar,Bangalore East,Varthur,C. V. Raman Nagar,Bangalore Central,20286,1.4,3.91,17.1829339567504,53.3412887828162,18.9189189189189,32.3406698720442
89,Jogupalya,Bangalore North,City Circle,Shanthinagar,Bangalore Central,37452,0.6,4.01,31.7231214901024,52.1479713603819,8.10810810810811,30.4470560854165
90,Ulsoor,Bangalore North,City Circle,Shivajinagar,Bangalore Central,20803,0.8,5.3,17.6208505916533,36.7541766109785,10.8108108108108,22.5501650870464
91,Bharathinagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,41815,0.9,5.96,35.4187313123099,28.8782816229117,12.1621621621622,23.4999237764915
92,Shivajinagar,Bangalore North (Additional),City Circle,Shivajinagar,Bangalore Central,87856,1.1,4.18,74.4170287737487,50.1193317422434,14.8648648648649,40.8770843975931
93,Vasanthnagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,7286,1.4,4.82,6.17149052592348,42.4821002386635,18.9189189189189,25.7947057682177
94,Gandhinagar,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,16334,2.7,3.74,13.835455153779,55.3699284009547,36.4864864864865,39.5096569857323
95,Subhashnagar,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,28599,5.2,4.95,24.2243285137092,40.9307875894988,70.2702702702703,49.3252888466495
96,Okalipuram,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,46279,3.2,3.93,39.1998915796339,53.1026252983294,43.2432432432432,46.3783257325558
97,Dayanandanagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,80035,2.4,5.74,67.7923749989412,31.5035799522673,32.4324324324324,39.1328799536681
98,Prakashnagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,57730,0.7,5.11,48.8992791739723,39.0214797136038,9.45945945945946,29.1722315040198
99,Rajajinagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,38388,1,3.7,32.5159454171219,55.8472553699284,13.5135135135135,34.2474966368012
100,Basaveshwaranagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,36191,0.7,5.11,30.6550114773122,39.0214797136038,9.45945945945946,25.5233779646878
101,Kamakshipalya,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,33135,1.4,2.46,28.0664752369578,70.6443914081146,18.9189189189189,41.438619178205
102,Vrishabhavathi,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,51187,2.2,4.52,43.3571349918261,46.0620525059666,29.7297297297297,38.9881398926438
103,Kaveripura,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,32357,2.8,2.4,27.4074826993283,71.3603818615752,37.8378378378378,49.1607844196309
104,Govindarajanagar,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,34956,1.4,1.8,29.6089243513836,78.5202863961814,18.9189189189189,44.8974669963169
105,Agrahara Dasarahalli,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,35597,1.4,7.14,30.1518732159344,14.7971360381862,18.9189189189189,19.5167966260289
106,Dr. Rajkumar,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,24492,1,3.49,20.745559423678,58.3532219570406,13.5135135135135,32.8958060729572
107,Shivanagar,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,46943,0.6,4.78,39.7623222287161,42.9594272076372,8.10810810810811,28.3794785720414
108,Srirama Mandir,Bangalore North,City Circle,Rajaji Nagar,Bangalore Central,31973,1.3,3.09,27.0822216010639,63.1264916467781,17.5675675675676,37.694068005951
109,Chickpete,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,46929,0.7,4.33,39.7504637511753,48.3293556085919,9.45945945945946,31.0656187774556
110,Sampangiramanagar,Bangalore North,City Circle,Shivajinagar,Bangalore Central,6185,1,3.75,5.23890597074344,55.2505966587112,13.5135135135135,28.5534252630386
111,Shanthalanagar,Bangalore North,City Circle,Shanthinagar,Bangalore Central,5745,0.6,5.35,4.86621096231545,36.1575178997613,8.10810810810811,18.6794925956109
112,Domlur,Bangalore North,City Circle,Shanthinagar,Bangalore Central,17557,0.9,3.21,14.8713778703868,61.6945107398568,12.1621621621622,32.516944734885
113,Konena Agrahara,Bangalore South,Begur,C. V. Raman Nagar,Bangalore Central,17919,1,3.06,15.1780042182299,63.4844868735084,13.5135135135135,33.8348009984547
114,Agaram,Bangalore North (Additional),City Circle,Shanthinagar,Bangalore Central,3345,1.3,3.2,2.83332909816278,61.8138424821002,17.5675675675676,32.3192298394997
115,Vannarpet,Bangalore North,City Circle,Shanthinagar,Bangalore Central,48898,2.9,5.06,41.4182739138905,39.618138424821,39.1891891891892,39.8065858283822
116,Neelasandra,Bangalore North,City Circle,Shanthinagar,Bangalore Central,94287,3,3.54,79.8643051355678,57.7565632458234,40.5405405405405,55.2917025416591
117,Shanthinagar,Bangalore North,City Circle,Shanthinagar,Bangalore Central,15494,0.9,4,13.1239465013256,52.2673031026253,12.1621621621622,28.3965754061801
118,Sudhamanagar,Bangalore North,City Circle,Chickpet,Bangalore South,28586,3,2.95,24.2133170702784,64.7971360381862,40.5405405405405,46.9777340455464
119,Dharmarayaswamy Temple,Bangalore North,City Circle,Chickpet,Bangalore South,24561,1,4.3,20.8040047772724,48.6873508353222,13.5135135135135,29.0411466949888
120,Cottonpet,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,49463,2.4,3.34,41.8968481860765,60.1431980906921,32.4324324324324,45.4096218464651
121,Binnipete,Bangalore North,City Circle,Gandhi Nagar,Bangalore Central,48081,2.4,4.52,40.7262470459685,46.0620525059666,32.4324324324324,39.5430433845533
122,Kempapura Agrahara,Bangalore North,City Circle,Vijay Nagar,Bangalore South,113291,3.6,3.26,95.9613413632167,61.0978520286396,48.6486486486487,63.0908685435587
123,Vijaynagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,55298,0.8,4.21,46.8392922182976,49.7613365155131,10.8108108108108,33.5967173741891
124,Hosahalli,Bangalore North,City Circle,Vijay Nagar,Bangalore South,55298,2.3,3.17,46.8392922182976,62.1718377088306,31.0810810810811,46.6690259596242
125,Marenahalli,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,30709,0.2,3.42,26.0115704859435,59.1885441527446,2.7027027027027,29.9588128393676
126,Maruthi Mandira,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,37155,1,3.25,31.4715523594135,61.2171837708831,13.5135135135135,36.1865893856413
127,Moodalapalya,Bangalore North,City Circle,Govindraj Nagar,Bangalore South,45077,1.6,5.17,38.1817565793375,38.3054892601432,21.6216216216216,31.6071956685734
128,Nagarabhavi,Bangalore North,Yeshwanthpura-2,Govindraj Nagar,Bangalore South,22406,3,3.15,18.9786462700853,62.4105011933174,40.5405405405405,44.9761459475602
129,Jnanabharathi,Bangalore South,Kengeri,Rajarajeshwarinagar,Bangalore Rural,5743,2.2,4.16,4.86451689409533,50.3579952267303,29.7297297297297,33.0079933614031
130,Ullalu,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,6688,5.4,2.54,5.66496412810544,69.6897374701671,72.972972972973,58.1980770028771
131,Nayandahalli,Bangalore South,Kengeri,Govindraj Nagar,Bangalore South,20860,7.4,3.93,17.669131535927,53.1026252983294,100,64.7748764265171
132,Attiguppe,Bangalore North,City Circle,Vijay Nagar,Bangalore South,29971,1.1,6.75,25.3864593127165,19.4510739856802,14.8648648648649,18.8036674027613
133,Hampinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,31659,2,5.35,26.8162528905039,36.1575178997613,27.027027027027,30.6370685488161
134,Bapujinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,72549,2.3,3.76,61.451477651005,55.1312649164678,31.0810810810811,46.7752339292206
135,Padarayanapura,Bangalore North,City Circle,Chamrajpet,Bangalore Central,118059,2.6,5.95,100,28.9976133651551,35.1351351351351,45.6530994001161
136,Jagjivanram Nagar,Bangalore North,City Circle,Chamrajpet,Bangalore Central,60762,5,7.42,51.4674865956852,11.4558472553699,67.5675675675676,41.902863248312
137,Rayapuram,Bangalore North,City Circle,Chamrajpet,Bangalore Central,81770,2.3,5.13,69.2619791799016,38.782816229117,31.0810810810811,41.7979547600595
138,Chalavadipalya,Bangalore North,City Circle,Chamrajpet,Bangalore Central,62762,3.6,1.91,53.1615548158124,77.2076372315036,48.6486486486487,60.9748253152234
139,Krishnarajendra Market,Bangalore North,City Circle,Chamrajpet,Bangalore Central,36068,2.9,3.44,30.5508262817744,58.9498806682578,39.1891891891892,45.3657931993337
140,Chamarajapet,Bangalore North,City Circle,Chamrajpet,Bangalore Central,30976,1.3,4.93,26.2377285933305,41.1694510739857,17.5675675675676,28.7423531752874
141,Azadnagar,Bangalore North,City Circle,Chamrajpet,Bangalore Central,57539,2.8,2.23,48.7374956589502,73.3890214797136,37.8378378378378,54.2382428588106
142,Sunkenahalli,Bangalore North,City Circle,Chickpet,Bangalore South,23137,1.3,4.34,19.5978282045418,48.2100238663485,17.5675675675676,30.2306022144748
143,Visvesvarapuram,Bangalore North,City Circle,Chickpet,Bangalore South,13186,0.8,5.63,11.1689917752988,32.8162291169451,10.8108108108108,19.6846143261621
144,Siddapura,Bangalore North,City Circle,Chickpet,Bangalore South,52299,2.6,6.5,44.2990369222169,22.4343675417661,35.1351351351351,31.8876084552039
145,Hombegowdanagar,Bangalore North,City Circle,Chickpet,Bangalore South,27202,0.9,3.14,23.0410218619504,62.5298329355609,12.1621621621622,34.4850024114793
146,Lakkasandra,Bangalore South,Begur,B.T.M Layout,Bangalore South,23689,0.6,7.82,20.0653910332969,6.68257756563247,8.10810810810811,9.92935247615561
147,Adugodi,Bangalore South,Begur,B.T.M Layout,Bangalore South,21559,2.8,5.04,18.2612083788614,39.8568019093079,37.8378378378378,34.7300975746306
148,Ejipura,Bangalore South,Begur,B.T.M Layout,Bangalore South,25093,0.6,3.97,21.2546269238262,52.6252983293556,8.10810810810811,28.5442879597507
149,Varthur,Bangalore East,Varthur,Mahadevapura,Bangalore Central,1929,2.5,3.97,1.63392879831271,52.6252983293556,33.7837837837838,34.8904186049183
150,Bellandur,Bangalore East,Varthur,Mahadevapura,Bangalore Central,3041,2.2,4.76,2.57583072870344,43.1980906921241,29.7297297297297,29.6862943144822
151,Koramangala,Bangalore South,Begur,B.T.M Layout,Bangalore South,10323,1.8,2.63,8.74393311818667,68.6157517899761,24.3243243243243,38.9248170693575
152,Suddaguntepalya,Bangalore South,Begur,B.T.M Layout,Bangalore South,23063,1.3,4.67,19.5351476803971,44.272076372315,17.5675675675676,28.6428871120325
153,Jayanagar,Bangalore North,City Circle,Chickpet,Bangalore South,15288,2.4,5.32,12.9494574746525,36.5155131264916,32.4324324324324,30.1690697185001
154,Basavanagudi,Bangalore South,City Circle,Basavanagudi,Bangalore South,28071,0.4,4.43,23.7770945035957,47.1360381861575,5.40540540540541,25.7719963373443
