Ward No.,Ward Name,,,,,Population Density 2011 (people/square km),Low Income % (People with no assets),Water Quality,Normalized Population,Normalized Water,Normalized Income,Ward Ranking
165,Ganesh Mandira,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,15979,0.7,5.33,13.5347580447065,36.3961813842482,9.45945945945946,21.0492079464244
166,Karisandra,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,24444,2.8,3.53,20.7049017863949,57.8758949880668,37.8378378378378,42.4264734876409
167,Yediyur,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,26683,0.4,4.1,22.6014111588274,51.073985680191,5.40540540540541,27.112038666004
168,Pattabhiramnagar,Bangalore South,City Circle,Jayanagar,Bangalore South,16438,0.4,6.96,13.9235467012257,16.945107398568,5.40540540540541,11.7249144618345
169,Byrasandra,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,36971,1.7,3.28,31.3156980831618,60.8591885441528,22.972972972973,39.7960042234827
170,Jayanagar East,Bangalore South,City Circle,Jayanagar,Bangalore South,32869,1.7,3.23,27.8411641636809,61.4558472553699,22.972972972973,39.3397609240733
171,Gurappanapalya,Bangalore South,Begur,Jayanagar,Bangalore South,72068,0.9,3.86,61.0440542440644,53.9379474940334,12.1621621621622,38.6488547112911
172,Madiwala,Bangalore South,Begur,B.T.M Layout,Bangalore South,36612,0.9,4.2,31.011612837649,49.8806682577566,12.1621621621622,31.0194547354973
173,Jakkasandra,Bangalore South,Begur,B.T.M Layout,Bangalore South,22020,0.7,4.17,18.6516911036007,50.2386634844869,9.45945945945946,27.6095873982987
174,HSR Layout,Bangalore South,Begur,Bommanahalli,Bangalore South,8879,1,6.17,7.52081586325481,26.3723150357995,13.5135135135135,17.4584945923762
175,Bommanahalli,Bangalore South,Begur,Bommanahalli,Bangalore South,23819,1.9,1.66,20.1755054676052,80.1909307875895,25.6756756756757,46.3817436788271
176,BTM Layout,Bangalore South,Begur,B.T.M Layout,Bangalore South,24688,1.1,2.84,20.9115781092505,66.109785202864,14.8648648648649,36.5721756489416
177,J. P. Nagar,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,15915,2.3,4.4,13.4805478616624,47.4940334128878,31.0810810810811,34.12615536992
178,Sarakki,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,23305,0.5,6.27,19.7401299350325,25.1789976133652,6.75675675675676,16.7223277350553
179,Shakambarinagar,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,13946,0.3,5.47,11.8127376989471,34.7255369928401,4.05405405405405,17.8743839585471
180,Banashankari Temple,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,61696,4.6,4.09,52.2586164544846,51.1933174224344,62.1621621621622,55.7939151247355
181,Kumaraswamy Layout,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,25514,1,3.42,21.611228284163,59.1885441527446,13.5135135135135,33.4030687233359
182,Padmanabhanagar,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,24311,1,3.43,20.5922462497565,59.0692124105012,13.5135135135135,33.1515396195572
183,Chikkalasandra,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,39948,0.9,4.55,33.8373186288212,45.7040572792363,12.1621621621622,29.9139515023236
184,Uttarahalli,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,5759,2.2,2.99,4.87806943985634,64.3198090692124,29.7297297297297,38.5954294075481
185,Yelachenahalli,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,29234,1.2,4.21,24.7621951735996,49.7613365155131,16.2162162162162,31.3434601274117
186,Jaraganahalli,Bangalore South,Uttarahalli,Bommanahalli,Bangalore South,29756,0.7,4.71,25.2043469790528,43.7947494033413,9.45945945945946,26.3425529409309
187,Puttenahalli,Bangalore South,Uttarahalli,Bommanahalli,Bangalore South,17137,1.1,2.25,14.5156235441601,73.1503579952267,14.8648648648649,38.1092138528687
188,Bilekahalli,Bangalore South,Begur,Bommanahalli,Bangalore South,11721,1,2.86,9.9280868040556,65.8711217183771,13.5135135135135,33.7394714535674
189,Hongasandra,Bangalore South,Begur,Bommanahalli,Bangalore South,32066,1.4,2.15,27.1609957732998,74.3436754176611,18.9189189189189,42.737236889292
190,Mangammanapalya,Bangalore South,Begur,Bommanahalli,Bangalore South,18956,2.3,2.58,16.0563785903658,69.2124105011933,31.0810810810811,43.3286723509829
191,Singasandra,Bangalore South,Begur,Bangalore South,Bangalore Rural,7283,3,0.47,6.16894942359329,94.3914081145585,40.5405405405405,55.2065693467583
192,Begur,Bangalore South,Begur,Bangalore South,Bangalore Rural,4216,3.3,1.51,3.57109580802819,81.9809069212411,44.5945945945946,51.3444197679399
193,Arakere,Bangalore South,Begur,Bommanahalli,Bangalore South,8810,2.2,3.72,7.46237050966042,55.6085918854415,29.7297297297297,35.6278027480006
194,Gottigere,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,7049,5.1,0.19,5.9707434418384,97.7326968973747,68.9189189189189,67.8547950148851
195,Konanakunte,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,16761,1,4.88,14.1971387187762,41.7661097852029,13.5135135135135,24.9512770632418
196,Anjanapura,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,3997,5.2,3.81,3.38559533792426,54.5346062052506,70.2702702702703,50.5990696577932
197,Vasanthapura,Bangalore South,Uttarahalli,Bangalore South,Bangalore Rural,10852,2.1,2.73,9.19201416241032,67.4224343675418,28.3783783783784,40.1587279308501
198,Hemmigepura,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,1652,4,3.7,1.39930034982509,55.8472553699284,54.0540540540541,44.240383839558
,,,,,,118059,6.2,8.38,,,MAX,67.8547950148851
,,,,,,,6.2,,,,MIN,9.92935247615561
,,,,,,,5.3,,,,highest number = highest priority,
,,,,,,,2.6,,,,,
,,,,,,,2.5,,,,,
,,,,,,,2.4,,,,,
,,,,,,,0,,,,,
,,,,,,,4,,,,,
,,,,,,,8.8,,,,,
,,,,,,,0,,,,,
,,,,,,,7.4,,,,,
